Datetime,Year,Month,Hour,Day_of_Week,Is_Weekend,Traffic_Volume,Congestion_Level
2024-01-01 00:00:00,2024,1,0,0,0,304,Low
2024-01-01 01:00:00,2024,1,1,0,0,347,Low
2024-01-01 02:00:00,2024,1,2,0,0,394,Low
2024-01-01 03:00:00,2024,1,3,0,0,370,Low
2024-01-01 04:00:00,2024,1,4,0,0,406,Low
2024-01-01 05:00:00,2024,1,5,0,0,322,Low
2024-01-01 06:00:00,2024,1,6,0,0,555,Low
2024-01-01 07:00:00,2024,1,7,0,0,647,Low
2024-01-01 08:00:00,2024,1,8,0,0,1408,High
2024-01-01 09:00:00,2024,1,9,0,0,1453,High
2024-01-01 10:00:00,2024,1,10,0,0,1445,High
2024-01-01 11:00:00,2024,1,11,0,0,662,Low
2024-01-01 12:00:00,2024,1,12,0,0,672,Low
2024-01-01 13:00:00,2024,1,13,0,0,629,Low
2024-01-01 14:00:00,2024,1,14,0,0,583,Low
2024-01-01 15:00:00,2024,1,15,0,0,643,Low
2024-01-01 16:00:00,2024,1,16,0,0,682,Low
2024-01-01 17:00:00,2024,1,17,0,0,1537,High
2024-01-01 18:00:00,2024,1,18,0,0,1545,High
2024-01-01 19:00:00,2024,1,19,0,0,1488,High
2024-01-01 20:00:00,2024,1,20,0,0,1496,High
2024-01-01 21:00:00,2024,1,21,0,0,659,Low
2024-01-01 22:00:00,2024,1,22,0,0,613,Low
2024-01-01 23:00:00,2024,1,23,0,0,614,Low
2024-01-02 00:00:00,2024,1,0,1,0,361,Low
2024-01-02 01:00:00,2024,1,1,1,0,382,Low
2024-01-02 02:00:00,2024,1,2,1,0,339,Low
2024-01-02 03:00:00,2024,1,3,1,0,295,Low
2024-01-02 04:00:00,2024,1,4,1,0,314,Low
2024-01-02 05:00:00,2024,1,5,1,0,357,Low
2024-01-02 06:00:00,2024,1,6,1,0,646,Low
2024-01-02 07:00:00,2024,1,7,1,0,648,Low
2024-01-02 08:00:00,2024,1,8,1,0,1415,High
2024-01-02 09:00:00,2024,1,9,1,0,1392,High
2024-01-02 10:00:00,2024,1,10,1,0,1403,High
2024-01-02 11:00:00,2024,1,11,1,0,635,Low
2024-01-02 12:00:00,2024,1,12,1,0,689,Low
2024-01-02 13:00:00,2024,1,13,1,0,702,Low
2024-01-02 14:00:00,2024,1,14,1,0,584,Low
2024-01-02 15:00:00,2024,1,15,1,0,626,Low
2024-01-02 16:00:00,2024,1,16,1,0,639,Low
2024-01-02 17:00:00,2024,1,17,1,0,1495,High
2024-01-02 18:00:00,2024,1,18,1,0,1588,High
2024-01-02 19:00:00,2024,1,19,1,0,1518,High
2024-01-02 20:00:00,2024,1,20,1,0,1471,High
2024-01-02 21:00:00,2024,1,21,1,0,664,Low
2024-01-02 22:00:00,2024,1,22,1,0,650,Low
2024-01-02 23:00:00,2024,1,23,1,0,651,Low
2024-01-03 00:00:00,2024,1,0,2,0,429,Low
2024-01-03 01:00:00,2024,1,1,2,0,363,Low
2024-01-03 02:00:00,2024,1,2,2,0,334,Low
2024-01-03 03:00:00,2024,1,3,2,0,260,Low
2024-01-03 04:00:00,2024,1,4,2,0,340,Low
2024-01-03 05:00:00,2024,1,5,2,0,406,Low
2024-01-03 06:00:00,2024,1,6,2,0,633,Low
2024-01-03 07:00:00,2024,1,7,2,0,537,Low
2024-01-03 08:00:00,2024,1,8,2,0,1369,High
2024-01-03 09:00:00,2024,1,9,2,0,1436,High
2024-01-03 10:00:00,2024,1,10,2,0,1416,High
2024-01-03 11:00:00,2024,1,11,2,0,600,Low
2024-01-03 12:00:00,2024,1,12,2,0,612,Low
2024-01-03 13:00:00,2024,1,13,2,0,619,Low
2024-01-03 14:00:00,2024,1,14,2,0,608,Low
2024-01-03 15:00:00,2024,1,15,2,0,546,Low
2024-01-03 16:00:00,2024,1,16,2,0,672,Low
2024-01-03 17:00:00,2024,1,17,2,0,1564,High
2024-01-03 18:00:00,2024,1,18,2,0,1439,High
2024-01-03 19:00:00,2024,1,19,2,0,1563,High
2024-01-03 20:00:00,2024,1,20,2,0,1503,High
2024-01-03 21:00:00,2024,1,21,2,0,693,Low
2024-01-03 22:00:00,2024,1,22,2,0,639,Low
2024-01-03 23:00:00,2024,1,23,2,0,644,Low
2024-01-04 00:00:00,2024,1,0,3,0,364,Low
2024-01-04 01:00:00,2024,1,1,3,0,312,Low
2024-01-04 02:00:00,2024,1,2,3,0,401,Low
2024-01-04 03:00:00,2024,1,3,3,0,297,Low
2024-01-04 04:00:00,2024,1,4,3,0,329,Low
2024-01-04 05:00:00,2024,1,5,3,0,371,Low
2024-01-04 06:00:00,2024,1,6,3,0,615,Low
2024-01-04 07:00:00,2024,1,7,3,0,672,Low
2024-01-04 08:00:00,2024,1,8,3,0,1453,High
2024-01-04 09:00:00,2024,1,9,3,0,1437,High
2024-01-04 10:00:00,2024,1,10,3,0,1304,Medium
2024-01-04 11:00:00,2024,1,11,3,0,643,Low
2024-01-04 12:00:00,2024,1,12,3,0,684,Low
2024-01-04 13:00:00,2024,1,13,3,0,578,Low
2024-01-04 14:00:00,2024,1,14,3,0,670,Low
2024-01-04 15:00:00,2024,1,15,3,0,668,Low
2024-01-04 16:00:00,2024,1,16,3,0,583,Low
2024-01-04 17:00:00,2024,1,17,3,0,1545,High
2024-01-04 18:00:00,2024,1,18,3,0,1520,High
2024-01-04 19:00:00,2024,1,19,3,0,1537,High
2024-01-04 20:00:00,2024,1,20,3,0,1464,High
2024-01-04 21:00:00,2024,1,21,3,0,644,Low
2024-01-04 22:00:00,2024,1,22,3,0,561,Low
2024-01-04 23:00:00,2024,1,23,3,0,535,Low
2024-01-05 00:00:00,2024,1,0,4,0,354,Low
2024-01-05 01:00:00,2024,1,1,4,0,397,Low
2024-01-05 02:00:00,2024,1,2,4,0,359,Low
2024-01-05 03:00:00,2024,1,3,4,0,345,Low
2024-01-05 04:00:00,2024,1,4,4,0,339,Low
2024-01-05 05:00:00,2024,1,5,4,0,305,Low
2024-01-05 06:00:00,2024,1,6,4,0,628,Low
2024-01-05 07:00:00,2024,1,7,4,0,656,Low
2024-01-05 08:00:00,2024,1,8,4,0,1372,High
2024-01-05 09:00:00,2024,1,9,4,0,1425,High
2024-01-05 10:00:00,2024,1,10,4,0,1400,High
2024-01-05 11:00:00,2024,1,11,4,0,652,Low
2024-01-05 12:00:00,2024,1,12,4,0,677,Low
2024-01-05 13:00:00,2024,1,13,4,0,614,Low
2024-01-05 14:00:00,2024,1,14,4,0,667,Low
2024-01-05 15:00:00,2024,1,15,4,0,620,Low
2024-01-05 16:00:00,2024,1,16,4,0,653,Low
2024-01-05 17:00:00,2024,1,17,4,0,1478,High
2024-01-05 18:00:00,2024,1,18,4,0,1467,High
2024-01-05 19:00:00,2024,1,19,4,0,1512,High
2024-01-05 20:00:00,2024,1,20,4,0,1423,High
2024-01-05 21:00:00,2024,1,21,4,0,624,Low
2024-01-05 22:00:00,2024,1,22,4,0,565,Low
2024-01-05 23:00:00,2024,1,23,4,0,673,Low
2024-01-06 00:00:00,2024,1,0,5,1,511,Low
2024-01-06 01:00:00,2024,1,1,5,1,425,Low
2024-01-06 02:00:00,2024,1,2,5,1,483,Low
2024-01-06 03:00:00,2024,1,3,5,1,504,Low
2024-01-06 04:00:00,2024,1,4,5,1,504,Low
2024-01-06 05:00:00,2024,1,5,5,1,473,Low
2024-01-06 06:00:00,2024,1,6,5,1,497,Low
2024-01-06 07:00:00,2024,1,7,5,1,434,Low
2024-01-06 08:00:00,2024,1,8,5,1,467,Low
2024-01-06 09:00:00,2024,1,9,5,1,442,Low
2024-01-06 10:00:00,2024,1,10,5,1,430,Low
2024-01-06 11:00:00,2024,1,11,5,1,465,Low
2024-01-06 12:00:00,2024,1,12,5,1,479,Low
2024-01-06 13:00:00,2024,1,13,5,1,516,Low
2024-01-06 14:00:00,2024,1,14,5,1,475,Low
2024-01-06 15:00:00,2024,1,15,5,1,492,Low
2024-01-06 16:00:00,2024,1,16,5,1,493,Low
2024-01-06 17:00:00,2024,1,17,5,1,584,Low
2024-01-06 18:00:00,2024,1,18,5,1,382,Low
2024-01-06 19:00:00,2024,1,19,5,1,433,Low
2024-01-06 20:00:00,2024,1,20,5,1,530,Low
2024-01-06 21:00:00,2024,1,21,5,1,448,Low
2024-01-06 22:00:00,2024,1,22,5,1,503,Low
2024-01-06 23:00:00,2024,1,23,5,1,474,Low
2024-01-07 00:00:00,2024,1,0,6,1,558,Low
2024-01-07 01:00:00,2024,1,1,6,1,413,Low
2024-01-07 02:00:00,2024,1,2,6,1,518,Low
2024-01-07 03:00:00,2024,1,3,6,1,542,Low
2024-01-07 04:00:00,2024,1,4,6,1,418,Low
